"","species","sdm_max_value","inat_n_obs"
"246","Podiceps grisegena",0.970436811447144,3
"247","Podiceps nigricollis",0.885298788547516,0
"248","Podilymbus podiceps",0.980264723300934,12
"249","Poecile gambeli",0.224358811974525,0
"250","Poecile hudsonica",0.532988250255585,9753
"251","Poecile rufescens",0.984914302825928,11
"252","Pooecetes gramineus",0.555886924266815,0
"253","Porzana carolina",0.789125919342041,2
"254","Progne subis",0.730114758014679,0
"255","Psaltriparus minimus",0.824826538562775,0
"256","Pseudacris regilla",0.935999989509583,57
"257","Quiscalus quiscula",0.547714710235596,0
"258","Rallus limicola",0.970397591590881,2
"259","Rana aurora",0.844462215900421,175
"260","Rana luteiventris",0.457120180130005,0
"261","Recurvirostra americana",0.545778930187225,0
"262","Regulus calendula",0.960915982723236,3
"263","Regulus satrapa",0.969849824905396,11
"264","Riparia riparia",0.878642678260803,0
"265","Salpinctes obsoletus",0.549632549285889,0
"266","Salvelinus confluentus",0.481,0
"267","Sayornis phoebe",0.502685546875,0
"268","Sayornis saya",0.704894721508026,1
"269","Seiurus aurocapilla",0.139302775263786,0
"270","Seiurus noveboracensis",0.167682141065598,0
"271","Selasphorus calliope",0.192528501152992,0
"272","Selasphorus rufus",0.958108842372894,17
"273","Setophaga auduboni",0.289546281099319,13
"274","Setophaga coronata",0.9524045586586,26
"275","Setophaga magnolia",0.157120168209076,0
"276","Setophaga nigrescens",0.989978849887848,4
"277","Setophaga ruticilla",0.603243827819824,0
"278","Setophaga striata",0.125193193554878,0
"279","Sialia currucoides",0.742688179016113,0
"280","Sialia mexicana",0.304531872272491,0
"281","Sitta canadensis",0.964747130870819,10
"282","Sitta carolinensis",NA,0
"283","Sitta pygmaea",NA,0
"284","Sorex cinereus",0.534600973129272,0
"285","Sorex monticolus",0.94279807806015,0
"286","Spea hammondii",NA,0
"287","Sphyrapicus nuchalis",0.10554163902998,0
"288","Sphyrapicus ruber",0.96399998664856,27
"289","Sphyrapicus thyroideus",0.0585541129112244,0
"290","Spinus pinus",0.516010761260986,16
"291","Spinus tristis",0.931414663791656,3
"292","Spizella arborea",0.954563498497009,0
"293","Spizella breweri",0.548634052276611,0
"294","Spizella pallida",0.444740623235703,0
"295","Spizella passerina",0.833959579467773,1
"296","Stelgidopteryx serripennis",0.943975746631622,3
