"","species","filepath","filename","sdm_max_value","taxon_group","n_obs_inat","n_obs_ebird","include"
"97","Chroicocephalus philadelphia","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Chroicocephalus.philadelphia_NAs_pu_mask.tif","Chroicocephalus.philadelphia_NAs_pu_mask.tif",0.965926826000214,"Bird",2,121,"y"
"98","Circus cyaneus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Circus.cyaneus_NAs_pu_mask.tif","Circus.cyaneus_NAs_pu_mask.tif",0.908272683620453,"Bird",0,9,"y"
"99","Cistothorus palustris","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cistothorus.palustris_NAs_pu_mask.tif","Cistothorus.palustris_NAs_pu_mask.tif",0.878269553184509,"Bird",0,17,"y"
"100","Clangula hyemalis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Clangula.hyemalis_NAs_pu_mask.tif","Clangula.hyemalis_NAs_pu_mask.tif",0.973388850688934,"Bird",1,18,"y"
"101","Coccothraustes vespertinus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Coccothraustes.vespertinus_NAs_pu_mask.tif","Coccothraustes.vespertinus_NAs_pu_mask.tif",0.950993835926056,"Bird",1,26,"y"
"102","Colaptes auratus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Colaptes.auratus_NAs_pu_mask.tif","Colaptes.auratus_NAs_pu_mask.tif",0.956302464008331,"Bird",30,1242,"y"
"103","Contopus cooperi","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Contopus.cooperi_NAs_pu_mask.tif","Contopus.cooperi_NAs_pu_mask.tif",0.906397104263306,"Bird",1,61,"y"
"104","Contopus sordidulus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Contopus.sordidulus_NAs_pu_mask.tif","Contopus.sordidulus_NAs_pu_mask.tif",0.934829413890839,"Bird",0,47,"y"
"105","Coregonus clupeaformis","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Coregonus.clupeaformis_NAs_pu_mask.tif","Coregonus.clupeaformis_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"106","Corvus brachyrhynchos","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Corvus.brachyrhynchos_NAs_pu_mask.tif","Corvus.brachyrhynchos_NAs_pu_mask.tif",0.506167411804199,"Bird",27,1656,"y"
